No	ExtEHR resource	ExtEHR field	ExtEHR #	ExtEHR description	ExtEHR type	Ext binding	ExtEHR source	Mapped Resource	Mapped Field	EQ				Modeling	Needs work	Actor	Section	R4Mapped Resource	R4Mapped Field	EQ				Modeling	Needs work	Actor	Section	
109	EHDSAttachment		0..*	EHDS refined base model for This type is for containing or referencing attachments - additional data content defined in other formats. The most common use of this type is to include images or reports in some report format such as PDF. However, it can be used for any data that has a MIME type.			Attachment model	EuAttachment								R										R		
110	EHDSAttachment	contentType	0..1	Mime type of the content, with charset etc.	CodeableConcept	BCP-13 (preferred)	Mime type of the content, with charset etc.	EuAttachment	contentType	SB	FHIR requires binding.					R				SB	FHIR requires binding.					R		
111	EHDSAttachment	language	0..1	Human language of the content	CodeableConcept	BCP 47 (preferred)	Human language of the content	EuAttachment	language	EQ						R				EQ						R		
112	EHDSAttachment	data	0..1	The actual data of the attachment - a sequence of bytes, base64 encoded.	base64Binary		The actual data of the attachment - a sequence of bytes, base64 encoded.	EuAttachment	data	EQ						R				EQ						R		
113	EHDSAttachment	url	0..1	A location where the data can be accessed.	uri		A location where the data can be accessed.	EuAttachment	url	EQ						R				EQ						R		
114	EHDSAttachment	size	0..1	The number of bytes of data that make up this attachment (before base64 encoding).	integer64		The number of bytes of data that make up this attachment (before base64 encoding).	EuAttachment	size	EQ						R				EQ						R		
115	EHDSAttachment	title	0..1	A label or set of text to display in place of the data.	string		A label or set of text to display in place of the data.	EuAttachment	title	EQ						R				EQ						R		
116	EHDSBodyStructure		0..*	EHDS refined base model for Body structure			Body structure model																					
117	EHDSBodyStructure	identifier	0..*	Identifier for this instance of the anatomical structure.	Identifier		Identifier for this instance of the anatomical structure.																					
118	EHDSBodyStructure	morphology	0..1	The kind of structure being represented by the body structure at BodyStructure.location. This can define both normal and abnormal morphologies.	CodeableConcept	SNOMED CT (preferred)	The kind of structure being represented by the body structure at BodyStructure.location. This can define both normal and abnormal morphologies.																					
119	EHDSBodyStructure	location	0..1	Body site	CodeableConcept	SNOMED CT (preferred)	Body site																					
120	EHDSBodyStructure	locationQualifier	0..*	Additional qualifier of the body structure (e.g. upper, lower, left side).	CodeableConcept	SNOMED CT (preferred)	Additional qualifier of the body structure (e.g. upper, lower, left side).																					
121	EHDSBodyStructure	laterality	0..1	Body structure laterality (e.g. left, right).	CodeableConcept	SNOMED CT (preferred)	Body structure laterality (e.g. left, right).																					
122	EHDSBodyStructure	description	0..1	Textual description of the body structure	string		Textual description of the body structure																					
123	EHDSCarePlan		0..*	EHDS simplified model for care plan. The model includes very minimal information and is not designed to cover the full functionality of care plans.			Care plan model	EuCarePlan								R										R		
124	EHDSCarePlan	header	1..1	Common header for all patient-related data	Base		Common header for all patient-related data																					
125	EHDSCarePlan	header.subject	1..1	Patient/subject information	EHDSPatient		The patient whose intended care is described by the plan.	EuCarePlan	subject	EQ		EuPatient				R				EQ		EuPatient				R		
126	EHDSCarePlan	header.identifier	0..*	Business identifier for the object	Identifier		Identifier for the care plan	EuCarePlan	identifier	EQ						R				EQ						R		
127	EHDSCarePlan	header.authorship	1..*	Resource authoring details	Base		Authorship	EuCarePlan	contributor	EQ		EuPractitionerRole				R				EQ		EuPractitionerRole				R		
128	EHDSCarePlan	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSHealthProfessional		Author																					
129	EHDSCarePlan	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSOrganisation		Author																					
130	EHDSCarePlan	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSDevice		Author																					
131	EHDSCarePlan	header.authorship.datetime	1..1	Date and time of the issuing the document/resource by its author.	dateTime		Date and time of authoring/issuing	EuCarePlan	created	EQ						R				EQ						R		
132	EHDSCarePlan	header.lastUpdate	0..1	Date and time of the last update to the document/information	dateTime		Date and time of the last update to the resource	EuCarePlan	meta.lastUpdated	EQ		EuPractitionerRole				R				EQ		EuPractitionerRole				R		
133	EHDSCarePlan	header.status	1..1	Status of the resource	CodeableConcept	HL7 Request status (preferred)	Indicates whether the plan is currently being acted upon, represents future intentions or is now a historical record.	EuCarePlan	status	SB	Source binding is preferred, target required.					R	Recommendation			SB	Source binding is preferred, target required.					R	Recommendation	
134	EHDSCarePlan	header.statusReason[x]	0..1	Reason for the current status of the resource.	CodeableConcept		Reason for the current status of the resource.							No field for statusReason, will require an extension										No field for statusReason, will require an extension				
135	EHDSCarePlan	header.statusReason[x]	0..1	Reason for the current status of the resource.	string		Reason for the current status of the resource.																					
136	EHDSCarePlan	header.language	0..1	Language in which the resource is written. Language is expressed by the IETF language tag.	CodeableConcept	BCP 47 (preferred)	Language	EuCarePlan	language	EQ						R				EQ						R		
137	EHDSCarePlan	header.version	0..1	Business version of the resource.	string		Version	EuCarePlan	meta.versionId	EQ						R				EQ						R		
138	EHDSCarePlan	presentedForm	0..*	A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document	EHDSAttachment		A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document	EuCarePlan	text	EQ				No field to map this element, will require and extension		R				EQ				No field to map this element, will require and extension		R		
139	EHDSCarePlan	title	0..1	Human-friendly name for the care plan	string		Human-friendly name for the care plan	EuCarePlan	title	EQ						R	Recommendation			EQ						R	Recommendation	
